1,18:35:20,Clock IN
5,18:43:24,Clock IN
2,18:43:40,Clock IN
2,18:43:53,Clock OUT
1,18:44:05,Clock IN
1,18:44:24,Clock OUT
5,18:45:04,Clock IN
1,00:41:27,Clock IN
1,00:41:35,Clock OUT
1,00:41:43,Clock IN
1,00:41:46,Clock OUT
1,00:41:50,Clock IN
1,00:41:54,Clock OUT
1,00:41:57,Clock IN
1,00:42:01,Clock OUT
1,00:42:03,Clock IN
1,00:43:52,Clock OUT
1,00:43:57,Clock IN
1,00:44:01,Clock OUT
1,00:44:04,Clock IN
1,00:46:18,Clock OUT
1,01:24:29,Clock IN
1,01:25:12,Clock OUT
2,01:27:04,Clock IN
1,01:27:53,Clock IN
1,04:08:03,Clock OUT
1,15:34:13,Clock IN
1,17:44:46,Clock OUT
1,17:52:33,Clock IN
5,18:21:31,Clock IN
5,19:08:30,Clock OUT
